English,French,Chinese,Pingying,Spanish,German
bribe,pot-de-vin,贿赂,huì lù,soborno,bestechen
rum,rhum,朗姆酒,lǎng mǔ jiǔ,ron,rum
prescription,prescription,处方,chù fāng,prescripción,verschreibung
hush,faire taire,安静,ān jìng,cállate,stille
fuzzy,flou,模糊,mó hú,difuso,verschwommen
fragile,fragile,脆弱的,cuì ruo de,frágil,zerbrechlich
forensics,médecine légale,法医,fǎ yì,forense,forensik
expense,frais,费用,fèi yòng,gastos,aufwand
drugged,drogué,下药,xià yào,drogado,betäubt
conduct,conduite,执行,zhí xíng,conducta,benehmen
comic,bande dessinée,漫画,màn huà,cómic,comic
avenue,rue,大街,dà jiē,avenida,allee
suitcase,valise,手提箱,shǒu tí xiāng,maleta,koffer
sort,sorte,种类,chóng lèi,clasificar,sortieren
scan,analyse,扫描,sǎo miáo,escanear,scan
rod,tige,杆,gān,varilla,stange
motor,moteur,马达,mǎ dá,motor,motor-
mini,mini,小型的,xiǎo xíng de,mini,mini
installation,installation,安装,ān zhuāng,instalación,installation
insecure,peu sûr,没有安全感,méi yǒu ān quán gǎn,inseguro,unsicher
gamble,pari,赌,dǔ,jugar,zocken
wrist,poignet,手腕,shǒu wàn,muñeca,handgelenk
silk,soie,丝绸,sī chóu,seda,die seide
pump,pompe,泵,bèng,bomba,pumpe
nicer,plus gentil,更好,gèng hǎo,mejor,schöner
haul,transporter,运输,yùn shū,transportar,schleppen
guardian,gardien,监护人,jiān hù rén,guardián,wächter
dodge,esquive,躲闪,duǒ shǎn,esquivar,ausweichen
boot,botte,开机,kāi jī,bota,stiefel
thumb,pouce,拇指,mǔ zhǐ,pulgar,daumen
limited,limité,有限的,yǒu xiàn de,limitado,begrenzt
lighter,briquet,打火机,dǎ huǒ jī,encendedor,feuerzeug
elder,aîné,长老,cháng lǎo,mayor,ältere
shooter,tireur,射手,shè shǒu,tirador,schütze
quietly,tranquillement,悄悄,qiǎo qiǎo,en silencio,ruhig
lion,lion,狮子,shī zǐ,león,löwe
erase,effacer,擦除,cā chú,borrar,löschen
denying,nier,否认,fǒu rèn,negando,leugnen
ankle,cheville,踝,huái,tobillo,knöchel
amnesia,amnésie,健忘症,jiàn wàng zhèng,amnesia,amnesie
ruby,rubis,红宝石,hóng bǎo shí,rubí,rubin
hunter,chasseur,猎人,xí rén,cazador,jäger
heartbeat,battement de coeur,心跳,xīn tiào,latido del corazón,herzschlag
confront,affronter,面对,miàn duì,confrontar,konfrontieren
minus,moins,减,jiǎn,menos,minus-
legitimate,légitime,合法的,hé fǎ de,legítimo,legitim
hurricane,ouragan,飓风,jù fēng,huracán,hurrikan
fixing,fixation,定影,dìng yǐng,fijación,festsetzung
auto,auto,汽车,qì chē,auto,auto
arrogant,arrogant,傲慢的,ào màn de,arrogante,arrogant
tuna,thon,金枪鱼,jīn qiāng yú,atún,thunfisch
slightest,moindre,丝毫,sī háo,menor,geringste
saying,en disant,说,shuō,diciendo,sprichwort
paternity,paternité,亲子关系,qīn zǐ guān xì,paternidad,vaterschaft
catholic,catholique,天主教的,tiān zhǔ jiào de,católico,katholisch
snack,casse-croûte,小吃,xiǎo chī,bocadillo,snack
rational,rationnel,合理的,hé lǐ de,racional,rational
passport,passeport,护照,hù zhào,pasaporte,reisepass
dip,tremper,蘸,zhàn,aderezo,tauchen
advanced,avancée,先进的,xiān jìn de,avanzado,fortschrittlich
tumor,tumeur,瘤,liú,tumor,tumor
humiliated,humilié,羞辱,xiū rù,humillado,gedemütigt
destruction,destruction,破坏,po pī,destrucción,zerstörung
banana,banane,香蕉,xiāng jiāo,plátano,banane
august,août,八月,bā yuè,agosto,august
aspirin,aspirine,阿司匹林,ā sī pǐ lín,aspirina,aspirin
academy,académie,学院,xué yuàn,academia,akademie
wig,perruque,假发,jiǎ fā,peluca,perücke
turk,turc,土耳其人,tǔ ěr qí rén,turco,türke
throughout,tout au long de,始终,shǐ zhōng,a lo largo de,hindurch
logic,logique,逻辑,luó jí,lógica,logik
knight,chevalier,骑士,qí shì,caballero,ritter
eyesight,vue,眼力,yǎn lì,vista,sehvermögen
equal,égal,平等的,píng děng de,igual,gleich
ritual,rituel,仪式,yí shì,ritual,ritual
perfume,parfum,香水,xiāng shuǐ,perfume,parfüm
hiring,embauche,招聘,zhāo pìn,contratación,einstellung
ham,jambon,火腿,huǒ tuǐ,jamón,schinken
fusion,la fusion,融合,róng hé,fusión,verschmelzung
elect,élire,选,xuǎn,electo,wählen
thankful,reconnaissant,感恩,gǎn ēn,agradecido,dankbar
nineteen,dix-neuf,十九,shí jiǔ,diecinueve,neunzehn
comedy,comédie,喜剧,xǐ jù,comedia,komödie
analysis,une analyse,分析,fēn xī,análisis,analyse
teenager,adolescent,青少年,qīng shǎo nián,adolescente,teenager
shore,rive,支撑,zhī chēng,orilla,ufer
palm,paume,棕榈,zōng lǘ,palma,palme
detective,détective,侦探,zhēn tàn,detective,detektiv
widow,veuve,寡妇,guǎ fù,vdo,witwe
tissue,tissu,组织,zǔ zhī,tejido,gewebe
repay,rembourser,偿还,cháng huán,pagar,zurückzahlen
permanently,en permanence,永久,yǒng jiǔ,permanentemente,permanent
hack,pirater,黑客,hēi kè,cortar a tajos,hacken
deadly,mortel,致命,zhì mìng,mortal,tötlich
comfortless,sans confort,不舒服,bù shū fú,incómodo,trostlos
verdict,verdict,判决,pàn jué,veredicto,urteil
jar,pot,罐,guàn,frasco,krug
insensitive,insensible,麻木不仁,má mù bù rén,insensible,unempfindlich
aim,objectif,目的,mù de,apuntar,ziel
triple,tripler,三倍,sān bèi,triple,verdreifachen
messy,désordonné,乱,luàn,desordenado,chaotisch
entry,entrée,入口,rù kǒu,entrada,eintrag
bleed,saigner,流血,liú xiě,sangrar,bluten
foster,favoriser,促进,cù jìn,fomentar,fördern
ding,ding,叮,dīng,timbre,ding
airplane,avion,飞机,fēi jī,avión,flugzeug
worker,ouvrier,工人,gōng rén,trabajador,arbeiter
underestimate,sous-estimer,低估,dī gū,subestimar,unterschätzen
soccer,football,足球,zú qiú,fútbol,fußball
registered,inscrit,挂号的,guà hào de,registrado,eingetragen
multiple,plusieurs,多,duō,múltiple,mehrere
harmless,inoffensif,无害,wú hài,inofensivo,harmlos
frisk,fouiller,搜身,sōu shēn,cacheo,filzen
folk,populaire,民间,mín jiān,gente,volk
convention,convention,习俗,xí sú,convención,konvention
communicate,communiquer,交流,jiāo liú,comunicar,kommunizieren
attraction,attraction,吸引力,xī yǐn lì,atracción,attraktion
arson,incendie criminel,纵火,zòng huǒ,incendio provocado,brandstiftung
whack,battre,重击,zhòng jí,golpear,verprügeln
wade,patauger,韦德,wéi dé,vadear,waten
residence,résidence,住宅,zhù zhái,residencia,residenz
medium,moyen,中等的,zhōng děng de,medio,mittel
liking,aimer,喜欢,xǐ huān,gusto,geschmack
development,développement,发展,fā zhǎn,desarrollo,entwicklung
develop,développer,发展,fā zhǎn,desarrollar,entwickeln
dearest,très cher,最亲爱的,zuì qīn ài de,querida,liebste
congratulate,féliciter,祝贺,zhù hè,felicitar,gratulieren
april,avril,四月,sì yuè,abril,april
alliance,alliance,联盟,lián méng,alianza,allianz
vengeance,vengeance,复仇,fù chóu,venganza,rache
rack,étagère,架子,jià zǐ,estante,gestell
puzzle,puzzle,谜,mí,rompecabezas,puzzle
guidance,conseils,指导,zhǐ dǎo,guia,orientierungshilfe
courtesy,courtoisie,礼貌,lǐ mào,cortesía,höflichkeit
caller,votre interlocuteur,呼叫者,hū jiào zhě,llamador,anrufer
wizard,sorcier,巫师,wū shī,mago,magier
repair,réparation,修理,xiū lǐ,reparar,reparatur
quiz,quiz,测验,cè yàn,examen,quiz
curiosity,curiosité,好奇心,hǎo qí xīn,curiosidad,neugier
barbecue,barbecue,烧烤,shāo kǎo,parilla,grill
troops,troupes,军队,jūn duì,tropas,truppen
cough,la toux,咳嗽,ké sòu,tos,husten
accusation,accusation,指控,zhǐ kòng,acusación,anklage
resent,ressentiment,怨恨,yuàn hèn,resentirse de,übelnehmen
freshman,étudiant de première année,大一新生,dà yī xīn shēng,estudiante de primer año,student im ersten jahr
envy,envie,嫉妒,jí dù,envidia,neid
drown,noyer,淹,yān,ahogar,ertrinken
sofa,sofa,沙发,shā fā,sofá,sofa
highness,altesse,高度,gāo dù,alteza,hoheit
drain,égoutter,流走,liú zǒu,drenar,ablassen
dock,quai,码头,mǎ tóu,muelle,dock
welfare,bien-être,福利,fú lì,bienestar,wohlfahrt
theirs,les leurs,他们的,tā men de,suyo,ihre
state,etat,状态,zhuàng tài,estado,zustand
somewhat,quelque peu,有些,yǒu xiē,algo,etwas
solo,solo,独奏,dú zòu,solo,solo
jazz,le jazz,爵士乐,jué shì yuè,jazz,jazz
hawk,faucon,鹰,yīng,halcón,falke
finishing,finition,精加工,jīng jiā gōng,refinamiento,fertigstellung
album,album,专辑,zhuān jí,álbum,album
wee,pipi,小,xiǎo,pequeñito,wee
understandable,compréhensible,可以理解的,kě yǐ lǐ jiě de,comprensible,verständlich
stir,remuer,搅拌,jiǎo bàn,revolver,aufsehen
gratitude,reconnaissance,感激,gǎn jī,gratitud,dankbarkeit
faithful,fidèle,可信,kě xìn,fiel,treu
accent,accent,口音,kǒu yīn,acento,akzent
zip,zip *: français,压缩,yā suō,código postal,postleitzahl
wandering,errant,流浪,liú làng,errante,wandernd
regardless,indépendamment,不管,bù guǎn,a pesar de todo,ungeachtet
inevitable,inévitable,不可避免的,bù kě bì miǎn de,inevitable,unvermeidlich
crushed,écrasé,碎,suì,aplastada,zerquetscht
contingent,contingent,队伍,duì wǔ,contingente,kontingent
rocky,rocheux,岩石,yán shí,rocoso,felsig
robe,peignoir,长袍,cháng páo,túnica,kleid
retired,retraité,退休,tuì xiū,retirado,im ruhestand
gossip,potins,闲话,xián huà,chisme,tratsch
gambling,jeux d'argent,赌博,dǔ bó,juego,glücksspiel
determine,déterminer,决定,jué dìng,determinar,bestimmen
cosmetics,produits de beauté,化妆品,huà zhuāng pǐn,productos cosméticos,kosmetika
cent,cent,分,fēn,centavo,cent
stiff,rigide,僵硬的,jiāng yìng de,rígido,steif
sincere,sincère,真诚,zhēn chéng,sincero,aufrichtig
shield,protéger,盾,dùn,blindaje,schild
nightmare,cauchemar,恶梦,è mèng,pesadilla,albtraum
ignoring,ignorer,无视,wú shì,postergación,ignorieren
hunch,pressentiment,直觉,zhí jué,corazonada,ahnung
firework,feu d'artifice,焰火,yàn huǒ,fuegos artificiales,feuerwerk
crown,couronner,王冠,wáng guān,corona,krone
cooperation,la coopération,合作,hé zuo,cooperación,zusammenarbeit
brass,laiton,黄铜,huáng tóng,latón,messing
sophisticated,sophistiqué,复杂的,fù zá de,sofisticado,anspruchsvoll
luggage,bagage,行李,xíng lǐ,equipaje,gepäck
lemon,citron,柠檬,níng méng,limón,zitrone
investigate,enquêter,调查,diào chá,investigar,untersuchen
explore,explorer,探索,tàn suǒ,explorar,entdecken
dragon,dragon,龙,lóng,continuar,drachen
creek,ruisseau,溪,xī,cala,bach
complication,complication,并发症,bìng fā zhèng,complicación,komplikation
righteous,vertueux,正义,zhèng yì,justo,gerecht
reconsider,reconsidérer,重新考虑,zhòng xīn kǎo lǜ,reconsiderar,überdenken
inspiration,inspiration,灵感,líng gǎn,inspiración,inspiration
goody,bonjour,好东西,hǎo dōng xī,bueno,gut
fringe,la frange,边缘,biān yuán,franja,randbereich
ethic,éthique,伦理,lún lǐ,principio moral,ethik
courthouse,tribunal,法院大楼,fǎ yuàn dà lóu,palacio de justicia,gerichtsgebäude
camping,camping,野营,yě yíng,cámping,camping
assistance,assistance,帮助,bāng zhù,asistencia,hilfe
affection,affection,感情,gǎn qíng,afecto,zuneigung
lodge,loge,小屋,xiǎo wū,presentar,hütte
haircut,la coupe de cheveux,理发,lǐ fā,corte de pelo,haarschnitt
forcing,forcer,强迫,qiáng po,forzando,erzwingen
eternal,éternel,永恒,yǒng héng,eterno,ewig
stud,étalon,螺柱,luó zhù,semental,zucht
sailor,marin,水手,shuǐ shǒu,marinero,seemann
operator,opérateur,操作员,cāo zuo yuán,operador,operator
goat,chèvre,山羊,shān yáng,cabra,ziege
exclusive,exclusif,独家的,dú jiā de,exclusivo,exklusiv
destructive,destructeur,破坏性的,po pī xìng de,destructivo,destruktiv
defeat,défaite,打败,dǎ bài,fracaso,verlust
adore,adorer,崇拜,chóng bài,adorar,verehren
warrior,guerrier,战士,zhàn shì,guerrero,krieger
shorts,shorts,短裤,duǎn kù,bermudas,kurze hose
ninth,neuvième,第九,dì jiǔ,noveno,neunte
dough,pâte,面团,miàn tuán,masa,teig
creation,création,创建,chuàng jiàn,creación,schaffung
barrel,baril,桶,tǒng,barril,fass
tuck,replier,抱抱,bào bào,pliegue,stecken
rear,arrière,后部,hòu bù,trasero,rückseite
pacific,pacifique,太平洋,tài píng yáng,pacífico,pazifik
magnificent,magnifique,华丽的,huá lì de,magnífico,herrlich
lick,lécher,舔,tiǎn,lamer,lecken
goddess,déesse,女神,nǚ shén,diosa,göttin
glorious,glorieux,辉煌,huī huáng,glorioso,herrlich
visitation,visitation,探访,tàn fǎng,visitación,heimsuchung
teen,adolescent,青少年,qīng shǎo nián,adolescente,teenager
scholarship,bourse d'études,奖学金,jiǎng xué jīn,beca,stipendium
sane,sain,理智的,lǐ zhì de,cuerdo,vernünftig
kingdom,royaume,王国,wáng guó,reino,königreich
flames,flammes,火焰,huǒ yàn,llamas,flammen
sunny,ensoleillé,阳光明媚,yáng guāng míng mèi,soleado,sonnig
mattress,le matelas,床垫,chuáng diàn,colchón,matratze
lobster,homard,龙虾,lóng xiā,langosta,hummer
importantly,important,重要的,zhòng yào de,en tono rimbombante,wichtig
glove,gant,手套,shǒu tào,guante,handschuh
disappointment,déception,失望,shī wàng,decepción,enttäuschung
condo,condo,公寓,gōng yù,condominio,eigentumswohnung
cemetery,cimetière,公墓,gōng mù,cementerio,friedhof
screech,hurler,尖叫,jiān jiào,chillido,kreischen
nun,religieuse,尼姑,ní gū,monja,nonne
navy,marine,海军,hǎi jūn,armada,marine
dedicated,dédié,投入的,tóu rù de,dedicado,gewidmet
christian,christian,基督教,jī dū jiào,cristiano,christian
annual,annuel,年度的,nián dù de,anual,jährlich
worm,ver de terre,虫,chóng,gusano,wurm
tick,cocher,打钩,dǎ gōu,garrapata,tick
polish,polonais,抛光,pāo guāng,polaco,polieren
funds,fonds,资金,zī jīn,fondos,mittel
defensive,défensive,防守,fáng shǒu,defensivo,defensive
compete,rivaliser,竞争,jìng zhēng,competir,wetteifern
balloon,ballon,气球,qì qiú,globo,ballon
sailing,voile,航行,háng xíng,navegación,segeln
filing,dépôt,备案,bèi àn,presentación,einreichung
depression,dépression,沮丧,jū sāng,depresión,depression
conversation,conversation,对话,duì huà,conversacion,gespräch
consideration,considération,考虑,kǎo lǜ,consideración,rücksichtnahme
consciousness,la conscience,意识,yì shì,conciencia,bewusstsein
innocence,innocence,清白,qīng bái,inocencia,unschuld
freaky,bizarre,怪异的,guài yì de,raro,ausgeflippt
forehead,front,前额,qián é,frente,stirn
slam,claquer,大满贯,dà mǎn guàn,golpe,zuschlagen
pry,faire levier,撬,qiào,palanca,neugierig sein
inform,informer,通知,tōng zhī,informar,informieren
dug,creusé,挖,wā,excavado,gegraben
delighted,ravi,高兴极了,gāo xīng jí le,contento,erfreut
daylight,lumière du jour,日光,rì guāng,luz,tageslicht
currently,actuellement,目前,mù qián,en la actualidad,zur zeit
confidential,confidentiel,机密的,jī mì de,confidencial,vertraulich
chew,mâcher,嚼,jiáo,masticar,kauen
washing,la lessive,洗涤,xǐ dí,lavado,waschen
warden,directeur,典狱长,diǎn yù cháng,guardián,aufseher
temple,temple,寺庙,sì miào,templo,tempel
mistress,maîtresse,情妇,qíng fù,amante,herrin
marrow,moelle,骨髓,gǔ suǐ,médula,mark
hatred,haine,仇恨,chóu hèn,odio,hass
grill,gril,炙烤,zhì kǎo,parrilla,grill
corpse,corps,尸体,shī tǐ,cadáver,leiche
sober,sobre,清醒,qīng xǐng,sobrio,nüchtern
peel,peler,剥,bō,cáscara,schälen
larger,plus grand,更大,gèng dà,mas grande,größer
infected,infecté,已感染,yǐ gǎn rǎn,infectado,infiziert
humanity,humanité,人性,rén xìng,humanidad,menschheit
electrical,électrique,电气,diàn qì,eléctrico,elektrisch
distraction,distraction,分心,fēn xīn,distracción,ablenkung
chopper,hachoir,斩波器,zhǎn bō qì,helicóptero,zerhacker
cart,chariot,大车,dà chē,carro,wagen
broadcast,diffuser,播送,bo sòng,transmisión,übertragen
violation,violation,违反,wéi fǎn,violación,verstoß
suspend,suspendre,暂停,zàn tíng,suspender,aussetzen
sting,piquer,刺,cì,picadura,stachel
promising,prometteur,有希望,yǒu xī wàng,prometedor,vielversprechend
harassment,harcèlement,骚扰,sāo rǎo,acoso,belästigung
glue,la colle,胶水,xiáo shuǐ,pegamento,kleber
gathering,la cueillette,搜集,sōu jí,reunión,sammeln
deer,cerf,鹿,lù,ciervo,hirsch
cursed,maudit,诅咒,zǔ zhòu,maldito,verflucht
content,teneur,内容,nèi róng,contenido,inhalt
combat,combat,战斗,zhàn dǒu,combate,kampf
brutal,brutal,野蛮,yě mán,brutal,brutal
asset,actif,资产,zī chǎn,activo,anlage
warlock,démoniste,术士,zhú shì,brujo,hexenmeister
wagon,wagon,车皮,chē pí,vagón,wagen
unpleasant,désagréable,不愉快,bù yú kuài,desagradable,unangenehm
tan,bronzer,棕褐色,zōng hé sè,broncearse,bräunen
robot,robot,机器人,jī qì rén,robot,roboter
lease,bail,租,zū,alquiler,mieten
killer,tueur,杀手,shā shǒu,asesino,mörder
flame,flamme,火焰,huǒ yàn,fuego,flamme
domestic,national,国内的,guó nèi de,doméstico,inländisch
divine,divin,神圣的,shén shèng de,adivinar,göttlich
disappearance,disparition,消失,xiāo shī,desaparición,verschwinden
depressing,déprimant,压抑,yā yì,deprimente,deprimierend
thrill,ravir,快感,kuài gǎn,emoción,nervenkitzel
terminal,terminal,终端,zhōng duān,terminal,terminal
rib,nervure,肋骨,lè gǔ,costilla,rippe
knew,a connu,知道,zhī dào,supo,wusste
flush,affleurer,冲洗,chōng xǐ,enjuagar,spülen
exception,exception,例外,lì wài,excepción,ausnahme
earring,boucle d'oreille,耳环,ěr huán,arete,ohrring
deadline,date limite,最后期限,zuì hòu qí xiàn,fecha límite,termin
